epoch,training_loss,validation_loss,accuracy,f1,roc_auc,grad_norm,spatial_grad_variance,near_zero_ratio,depth,n_entangling_gates,entangler_strength,scheduler_action,mutation_status,n_commits,n_rollbacks
0,0.6781602131444404,0.6581602131444404,0.05041088855224307,0.049402670781198206,0.5252054442761216,0.04163930459789636,0.003952847075210475,0.15971390804207314,2,14,1.0,keep,none,0,0
1,0.6488037340689984,0.6288037340689984,0.0927662183393474,0.09091089397256044,0.5463831091696737,0.04163930459789636,0.003952847075210475,0.15971390804207314,2,14,1.0,keep,none,0,0
2,0.6247346875391278,0.6047346875391277,0.1274928761518862,0.12494301862884848,0.5637464380759432,0.04163930459789636,0.003952847075210475,0.15971390804207314,2,14,1.0,keep,none,0,0
3,0.58510694981865,0.56510694981865,0.18466750855771186,0.18097415838655762,0.5923337542788559,0.04163930459789636,0.003952847075210475,0.15971390804207314,2,14,1.0,keep,none,0,0
4,0.5589470802896247,0.5389470802896247,0.2224107916756245,0.217962575842112,0.6112053958378123,0.04163930459789636,0.003952847075210475,0.15971390804207314,2,14,1.0,keep,none,0,0
5,0.537280469842843,0.5172804698428429,0.2536712309293855,0.24859780631079778,0.6268356154646928,0.04163930459789636,0.003952847075210475,0.15971390804207314,2,14,1.0,keep,none,0,0
6,0.537280469842843,0.5172804698428429,0.2536712309293855,0.24859780631079778,0.6268356154646928,0.04163930459789636,0.003952847075210475,0.15971390804207314,2,14,1.0,keep,none,0,0
7,0.537280469842843,0.5172804698428429,0.2536712309293855,0.24859780631079778,0.6268356154646928,0.04163930459789636,0.003952847075210475,0.15971390804207314,2,14,1.0,keep,none,0,0
8,0.537280469842843,0.5172804698428429,0.2536712309293855,0.24859780631079778,0.6268356154646928,0.04163930459789636,0.003952847075210475,0.15971390804207314,2,14,1.0,keep,none,0,0
9,0.537280469842843,0.5172804698428429,0.2536712309293855,0.24859780631079778,0.6268356154646928,0.04163930459789636,0.003952847075210475,0.15971390804207314,2,14,1.0,keep,none,0,0
10,0.537280469842843,0.5172804698428429,0.2536712309293855,0.24859780631079778,0.6268356154646928,0.029443434645064704,0.0023503769331789967,0.43950597116914963,3,21,1.0,add_layer,in_progress,0,0
11,0.5250274773346301,0.50502747733463,0.27134976578469194,0.2659227704689981,0.635674882892346,0.030581782348741354,0.0023503769331789967,0.41804108101933907,3,21,1.0,keep,in_progress,0,0
